Combination,Noise Level,Mean,Std Dev,CV
89,0.99,4.9,14.865732407116713,3.033822878313148
90,0.99,0.0,0.0,0.0
91,0.99,5.3,15.900000000000002,2.9999999433962277
92,0.99,3.7,12.19877042984251,3.296964891931357
93,0.99,3.65,10.951141493013411,3.000312655611547
94,0.99,2.9,8.791473141629908,3.0315423580950593
95,0.99,3.9,16.999705879808626,4.358898831774037
96,0.99,0.0,0.0,0.0
97,0.99,5.65,22.23347701103001,3.935128604870292
98,0.99,0.0,0.0,0.0
99,0.99,3.95,17.217650826985658,4.358898833188803
100,0.99,1.75,7.628073151196179,4.358898694460748
101,0.99,5.15,19.670472795537986,3.8195092065217597
102,0.99,8.2,22.482437590261423,2.7417606483030927
103,0.99,4.9,11.691449867317571,2.3860101283095014
104,0.99,1.7,7.410128204019145,4.358898687134868
105,0.99,3.8,11.556816170554935,3.0412673332705795
106,0.99,3.6,10.942577392917995,3.039604746932645
107,0.99,4.25,14.303408684645769,3.3655078466105843
108,0.99,7.1,21.533462331914947,3.0328819758629226
109,0.99,1.9,6.677574409918621,3.514512662351239
110,0.99,0.0,0.0,0.0
111,0.99,0.0,0.0,0.0
112,0.99,0.75,3.2691742076555053,4.358898362354226
113,0.99,5.2,16.606023003717656,3.1934659008405895
114,0.99,2.75,11.986972094736853,4.358898785035263
115,0.99,4.45,19.397100298755998,4.35889884558789
116,0.99,0.0,0.0,0.0
117,0.99,3.95,12.224872187470918,3.0949042729064535
118,0.99,8.6,24.753585598858198,2.8783238733750944
119,0.99,5.15,13.799547094017253,2.67952365554658
120,0.99,0.65,2.242208732477866,3.449551365419584
121,0.99,1.2,5.230678732248809,4.358898580299126
122,0.99,0.0,0.0,0.0
123,0.99,0.0,0.0,0.0
124,0.99,6.5,20.40465633133771,3.1391778488338344
125,0.99,9.3,40.537760174928266,4.3588988966707936
126,0.99,5.2,17.93766985982293,3.4495518297822585
127,0.99,0.0,0.0,0.0
128,0.99,0.0,0.0,0.0
129,0.99,0.0,0.0,0.0
130,0.99,3.7,16.12792609110049,4.358898825732597
131,0.99,0.0,0.0,0.0
132,0.99,1.55,6.756293362488044,4.358898662321405
133,0.99,1.6,6.974238309665076,4.358898671109506
134,0.99,1.75,7.628073151196179,4.358898694460748
135,0.99,4.7,14.778700890132395,3.144404377806799
136,0.99,0.0,0.0,0.0
137,0.99,0.0,0.0,0.0
138,0.99,3.75,16.345871038277526,4.3588988273033715
139,0.99,0.0,0.0,0.0
140,0.99,4.55,17.38814251149329,3.821569698755235
141,0.99,0.0,0.0,0.0
142,0.99,2.45,10.679302411674652,4.358898765626439
143,0.99,5.0,15.029970059850418,3.0059939518502046
144,0.99,0.0,0.0,0.0
145,0.99,2.8,12.204917041913887,4.3588987878657175
146,0.99,5.5,14.609928131240071,2.6563505210190943
147,0.99,6.15,14.643343197507873,2.381031375512965
148,0.99,4.65,14.478518570627315,3.113659840701361
149,0.99,2.85,12.422861989090919,4.358898790596856
150,0.99,5.1,18.737395763552634,3.673999097284848
151,0.99,2.25,9.807522622966516,4.358898749811841
152,0.99,0.0,0.0,0.0
153,0.99,0.2,0.8717797887081346,4.35889676409229
154,0.99,3.85,16.781760932631595,4.358898830322523
155,0.99,6.5,21.16246677492962,3.2557640691312635
156,0.99,1.3,5.666568626602876,4.35889860824078
157,0.99,4.55,13.723975371589676,3.016258257134912
158,0.99,11.15,27.309842548063145,2.4493132110432128
159,0.99,7.0,21.038060747131613,3.005437206655413
160,0.99,0.0,0.0,0.0
161,0.99,0.0,0.0,0.0
162,0.99,6.05,16.791292386234,2.775420183254873
163,0.99,17.25,41.08877583963776,2.3819580058806933
164,0.99,4.9,21.358604823349303,4.358898854583554
